d_ano,d_muni,d_nombmuni,d_provincia,d_nomsec,d_nomzon,dane_ant,d_nombinst,d_sede,d_nombsede,d_nomjor,d_grado,d_edad,d_genero,d_hombres,d_mujeres,d_tipo,metodo,sector,edad,etnia,discapa
2022,13,AGUADA,VÉLEZ,OFICIAL,URBANA,1.68013E+11,COLEGIO INTEGRADO ROEL Y VELASCO,168013000016A,COLEGIO INTEGRADO ROEL Y VELASCO,MAÑANA,1,7,F,0,1,DESPLAZAMIENTO FORZADO,EDUCACION TRADICIONA,1,7,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,13,AGUADA,VÉLEZ,OFICIAL,URBANA,1.68013E+11,COLEGIO INTEGRADO ROEL Y VELASCO,168013000016A,COLEGIO INTEGRADO ROEL Y VELASCO,MAÑANA,7,13,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,13,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,URBANA,1.6802E+11,COLEGIO DEPARTAMENTAL INTEGRADO SAGRADO CORAZON DE,168020000374A,COLEGIO DEPARTAMENTAL INTEGRADO SAGRADO CORAZON DE,MAÑANA,10,16,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,URBANA,1.6802E+11,COLEGIO DEPARTAMENTAL INTEGRADO SAGRADO CORAZON DE,168020000374B,ESCUELA URBANA ULPIANO MUÑOZ,MAÑANA,4,9,M,1,0,VICTIMAS DE MINAS,EDUCACION TRADICIONA,1,9,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,COLEGIO DEPARTAMENTAL INTEGRADO SAGRADO CORAZON DE,168020000374C,ESCUELA RURAL CANOAS,MAÑANA,3,9,M,1,0,EN SITUACION DE DESPLAZAMIENTO,ESCUELA NUEVA,1,9,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,COLEGIO DEPARTAMENTAL INTEGRADO SAGRADO CORAZON DE,168020000374D,ESCUELA RURAL CANUTILLO,MAÑANA,3,11,M,1,0,HIJOS DE ADULTOS DESMOVILIZADO,ESCUELA NUEVA,1,11,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,268020000492A,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,MAÑANA,7,13,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,13,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,268020000492A,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,MAÑANA,8,14,F,0,1,EN SITUACION DE DESPLAZAMIENTO,EDUCACION TRADICIONA,1,14,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,268020000492A,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,ÚNICA,11,16,M,1,0,DESPLAZAMIENTO FORZADO,EDUCACION TRADICIONA,1,16,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,268020000492F,INSTITUTO INTEGRADO DE COMERCIO EL CARRETERO,MAÑANA,0,5,M,1,0,DESPLAZAMIENTO FORZADO,ESCUELA NUEVA,1,5,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,268020000492F,INSTITUTO INTEGRADO DE COMERCIO EL CARRETERO,MAÑANA,2,8,M,1,0,HIJOS DE ADULTOS DESMOVILIZADO,ESCUELA NUEVA,1,8,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
2022,20,ALBANIA,VÉLEZ,OFICIAL,RURAL,2.6802E+11,INSTITUTO INTEGRADO DE COMERCIO EL HATILLO,268020000492G,ESCUELA RURAL UTAPA,MAÑANA,0,5,F,0,1,DESAPARICION FORZADA,ESCUELA NUEVA,1,5,NINGUN GRUPO ETNICO,NO TIENE DISCAPACIDAD
